cr_id,gender,age,race
1000009,FEMALE,37.0,HISPANIC
1000015,FEMALE,35.0,BLACK
1000015,FEMALE,24.0,BLACK
1000020,MALE,27.0,BLACK
1000021,MALE,26.0,BLACK
1000027,FEMALE,,BLACK
1000034,MALE,26.0,BLACK
1000034,MALE,27.0,BLACK
1000043,MALE,29.0,BLACK
1000043,MALE,35.0,BLACK
1000054,FEMALE,25.0,BLACK
1000055,MALE,25.0,BLACK
1000055,MALE,25.0,BLACK
1000058,MALE,25.0,HISPANIC
1000067,MALE,,BLACK
1000083,MALE,37.0,BLACK
1000085,MALE,82.0,HISPANIC
1000087,FEMALE,25.0,BLACK
1000093,MALE,25.0,BLACK
1000098,FEMALE,24.0,BLACK
1000101,MALE,26.0,BLACK
1000102,MALE,28.0,HISPANIC
1000104,FEMALE,25.0,BLACK
1000105,MALE,26.0,BLACK
1000121,FEMALE,73.0,BLACK
1000128,FEMALE,52.0,BLACK
1000130,MALE,37.0,BLACK
1000131,FEMALE,25.0,BLACK
1000134,MALE,64.0,BLACK
1000152,MALE,,BLACK
1000172,FEMALE,24.0,HISPANIC
1000172,FEMALE,27.0,HISPANIC
1000181,MALE,39.0,BLACK
1000182,MALE,26.0,BLACK
1000183,FEMALE,29.0,BLACK
1000193,FEMALE,,HISPANIC
1000202,FEMALE,21.0,BLACK
1000207,MALE,,HISPANIC
1000207,MALE,27.0,HISPANIC
1000216,MALE,,BLACK
1000217,FEMALE,37.0,BLACK
1000224,MALE,45.0,BLACK
1000235,MALE,24.0,BLACK
1000237,MALE,,BLACK
1000242,FEMALE,27.0,BLACK
1000248,MALE,33.0,BLACK
1000254,FEMALE,62.0,BLACK
1000254,MALE,,BLACK
1000256,MALE,,HISPANIC
1000263,FEMALE,30.0,BLACK
1000268,MALE,31.0,BLACK
1000270,MALE,51.0,BLACK
1000278,MALE,28.0,HISPANIC
1000281,FEMALE,37.0,BLACK
1000291,MALE,,HISPANIC
1000298,MALE,28.0,BLACK
1000301,MALE,43.0,BLACK
1000302,MALE,25.0,WHITE
1000303,MALE,24.0,BLACK
1000305,MALE,,HISPANIC
1000316,MALE,,HISPANIC
1000321,MALE,,HISPANIC
1000322,MALE,24.0,BLACK
1000326,MALE,40.0,HISPANIC
1000329,MALE,28.0,BLACK
1000356,MALE,23.0,BLACK
1000365,MALE,30.0,BLACK
1000370,FEMALE,26.0,BLACK
1000370,MALE,26.0,BLACK
1000377,MALE,35.0,WHITE
1000380,MALE,23.0,BLACK
1000381,MALE,26.0,BLACK
1000382,FEMALE,23.0,BLACK
1000386,MALE,,
1000387,MALE,27.0,BLACK
1000394,MALE,25.0,BLACK
1000402,FEMALE,24.0,BLACK
1000440,FEMALE,25.0,BLACK
1000458,FEMALE,27.0,BLACK
1000468,FEMALE,29.0,BLACK
1000468,MALE,29.0,BLACK
1000468,FEMALE,26.0,BLACK
1000468,FEMALE,29.0,BLACK
1000468,FEMALE,,BLACK
1000472,MALE,27.0,BLACK
1000477,MALE,,BLACK
1000477,MALE,38.0,BLACK
1000485,MALE,29.0,HISPANIC
1000487,MALE,24.0,BLACK
1000489,FEMALE,25.0,HISPANIC
1000491,MALE,24.0,HISPANIC
1000518,MALE,24.0,BLACK
1000520,MALE,,BLACK
1000521,MALE,26.0,BLACK
1000524,MALE,27.0,HISPANIC
1000525,MALE,61.0,BLACK
1000528,MALE,34.0,WHITE
1000542,MALE,26.0,BLACK
1000548,MALE,29.0,BLACK
1000551,MALE,24.0,BLACK
1000552,FEMALE,24.0,BLACK
1000555,MALE,39.0,BLACK
1000562,MALE,56.0,BLACK
1000563,MALE,,WHITE
1000563,MALE,26.0,WHITE
1000576,FEMALE,54.0,HISPANIC
1000577,MALE,27.0,BLACK
1000593,MALE,31.0,BLACK
1000598,MALE,24.0,BLACK
1000601,MALE,32.0,BLACK
1000603,FEMALE,26.0,BLACK
1000607,MALE,30.0,BLACK
1000609,MALE,24.0,BLACK
1000613,MALE,26.0,ASIAN/PACIFIC ISLANDER
1000617,FEMALE,25.0,BLACK
1000619,MALE,,NATIVE AMERICAN/ALASKAN NATIVE
1000620,MALE,44.0,BLACK
1000621,FEMALE,53.0,BLACK
1000629,MALE,29.0,BLACK
1000635,FEMALE,25.0,BLACK
1000637,MALE,,
1000641,MALE,26.0,NATIVE AMERICAN/ALASKAN NATIVE
1000646,MALE,25.0,BLACK
1000656,MALE,,WHITE
1000682,MALE,38.0,BLACK
1000691,MALE,40.0,HISPANIC
1000696,MALE,,BLACK
1000704,MALE,39.0,BLACK
1000706,MALE,,HISPANIC
1000707,MALE,,
