beat,number_of_reported_crimes,arrests_by_beat
423,31784,9912
421,30970,9968
624,28946,10451
1533,28633,15282
823,27745,8754
511,27279,7120
1112,26929,14231
1522,26615,13453
2533,26351,12648
414,25649,6398
621,24865,8746
612,24689,7252
825,24626,9081
321,24305,8337
522,24192,8597
713,23803,9549
1532,23779,12758
1011,23463,11373
1531,23002,12606
1122,22852,11678
831,22815,5754
512,22720,7345
631,22699,5767
1834,22577,5117
1121,22025,10580
312,21833,9891
832,21688,7359
712,21678,8066
632,21278,5703
1132,21237,10254
833,21218,5777
324,20926,5668
1133,20919,8864
513,20636,6759
1523,20443,10113
813,20283,4060
2534,20226,7552
623,20085,6426
523,20019,4733
725,19996,6873
1113,19996,10828
824,19754,6345
611,19696,6039
323,19559,5290
815,19312,4443
2512,19214,4862
122,19187,7496
835,19180,3407
424,19129,5644
834,19064,3831
2535,18969,8839
412,18623,3490
1111,18622,6573
912,18446,5905
524,18302,4876
132,18284,5740
313,18230,7307
613,18206,5038
331,18150,4372
2532,18145,6193
332,18037,4630
711,17954,6136
1831,17930,3685
1524,17893,7815
2521,17740,4883
733,17698,5815
2413,17439,3829
735,17318,5555
431,17286,3980
1723,17230,4926
1021,17135,6952
413,17104,3508
723,17026,5642
422,17025,5823
2234,17003,4946
1135,16954,7049
1134,16706,8659
822,16655,4443
2515,16648,5424
322,16597,4961
1424,16569,2385
432,16420,3901
914,16399,5247
2223,16342,3683
411,16337,3968
2222,16289,4587
1115,16106,8708
1022,16101,6039
2422,16092,6629
2212,16004,3017
1833,15970,5682
1422,15955,5648
2232,15723,4467
1123,15670,6439
634,15646,5618
614,15576,4040
726,15363,5223
1211,15349,4192
934,15282,6112
1821,15160,4558
1124,15132,7786
1031,15127,4107
1712,15027,3222
1434,14948,2467
2531,14943,5532
2233,14893,3867
533,14814,3939
531,14814,4465
1024,14813,5750
2514,14633,2944
1511,14544,4979
1014,14540,5100
1633,14517,3200
1433,14497,2739
913,14435,3560
532,14374,4628
1822,14280,5851
915,14206,4467
2522,14164,4291
1924,14161,3024
334,13995,3282
1131,13848,7147
932,13843,5697
1013,13837,4381
1012,13786,5451
1432,13722,2374
1731,13719,3120
1423,13628,4938
724,13627,3898
111,13603,4121
1732,13583,3130
1923,13468,2285
1824,13452,3230
814,13449,4547
1034,13403,3989
123,13397,4245
731,13335,4061
1622,13318,2211
131,13305,4293
924,13288,3940
2433,13279,3491
2412,13214,2692
734,13199,4212
911,13173,3987
2221,13135,3250
1512,13110,4359
1722,13089,3424
714,13061,4565
922,13042,3817
1823,13007,6471
935,12970,4469
1634,12893,3844
333,12886,4256
821,12841,3478
1421,12759,3770
732,12732,3953
2432,12723,3563
2411,12714,1908
212,12681,6032
233,12674,4023
1933,12673,1687
1212,12568,1950
1623,12527,2769
2523,12449,2919
722,12429,2959
2524,12333,3406
811,12272,2683
715,12154,3642
1114,12060,6886
1323,12059,1363
1832,12056,4243
622,12008,4372
923,11992,2442
1733,11940,2701
1913,11906,4628
2011,11871,2599
1033,11870,3952
433,11858,2658
1624,11845,2712
1223,11807,3614
314,11781,2562
134,11748,6965
2424,11733,3678
931,11716,4370
232,11622,4097
1231,11589,5099
633,11559,2753
1513,11541,4062
222,11533,2874
1224,11261,2453
1811,11149,1881
933,11125,4620
112,11071,2725
1412,11003,2325
1724,10925,2324
211,10818,3973
1222,10816,4024
1411,10810,1898
1651,10806,2541
2213,10718,2387
2525,10701,3406
1331,10695,4850
1932,10671,1673
1023,10655,3763
234,10536,2641
1413,10473,2550
1812,10469,1633
2211,10384,1977
1931,10290,1860
1213,10242,1709
311,10133,3731
2511,10071,1869
223,10048,2601
1233,10047,2805
812,9912,1958
1713,9871,2945
2423,9795,2563
213,9728,2709
1814,9642,967
2113,9630,5487
1431,9608,1655
1711,9561,1501
1414,9541,1924
1632,9512,1877
113,9458,2290
124,9268,2779
2123,9170,2005
1032,9040,3015
921,8825,3043
2132,8800,1633
224,8679,3238
1922,8640,1080
1912,8599,1388
1313,8527,2283
133,8521,1720
1324,8510,1343
1631,8424,1283
1311,8357,2508
2311,8323,3833
2431,8319,2771
925,8072,2444
2513,8061,1738
1332,8053,3307
2024,8050,3164
214,7915,2353
1911,7863,1211
221,7796,2669
1312,7698,1430
434,7638,2331
2013,7525,1678
2124,7496,1714
1614,7420,1018
2122,7219,2202
1125,7167,3515
1813,6854,774
2331,6839,1639
2023,6816,2353
1232,6527,1237
2012,6501,1294
1611,6488,908
2031,6481,1403
2333,6373,774
1322,6083,1026
2032,6061,1409
2332,5890,1182
1613,5875,893
2324,5847,1731
2112,5729,1641
231,5636,1529
2033,5421,1538
2022,5411,1437
2312,5330,2370
2131,5258,905
2313,5101,2331
1333,5057,1613
1612,5048,969
2322,4788,1341
2323,4693,944
1914,4368,1729
2133,4179,786
1621,4130,548
1925,4093,724
2111,3992,868
1935,3711,318
1934,3434,462
1221,3290,734
114,3176,680
1234,3131,784
1214,3126,285
225,3119,1075
1215,3098,392
121,2980,683
1921,2979,564
1225,2899,647
1915,2642,542
1235,2586,483
215,2501,764
1654,2478,1133
235,1880,189
1653,1860,480
1652,851,242
1655,652,194
430,16,2
