beat,num_incidents_firearm,num_passive_resistor,num_active_resistor,num_assailant_assault,num_assailant_assault/battery,num_assailant_battery,num_assailant_deadly_force,num_hispanic,num_black,num_asian,num_white,num_other,num_native,num_member_fired_first,num_other_fired_first,num_offender_fired_first,num_other_force,num_physical_force-holding/taser_display,num_physical_force-stunning/chemical,"num_impact_weapon/taser/physical_force-direct_mechanical,",num_firearm,num_incidents_injury,num_incidents_pb_1,num_incidents_pb_2,num_trr,num_incidents_pb_3
111,3.0,0.0,17.0,2.0,1.0,0.0,3.0,1.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,18.0,1.0,3.0,23.0,23.0,23.0,23.0,23.0
112,0.0,0.0,9.0,2.0,3.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,3.0,0.0,14.0,14.0,14.0,14.0,14.0
113,0.0,0.0,8.0,4.0,1.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,13.0,13.0,13.0,13.0,13.0
114,0.0,0.0,8.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,11.0,11.0,11.0,11.0,11.0
121,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,3.0,3.0
122,3.0,1.0,18.0,2.0,1.0,0.0,3.0,0.0,19.0,1.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,16.0,4.0,3.0,25.0,25.0,25.0,25.0,25.0
123,0.0,0.0,25.0,3.0,0.0,0.0,0.0,4.0,16.0,3.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,23.0,2.0,0.0,28.0,28.0,28.0,28.0,28.0
124,0.0,0.0,20.0,3.0,5.0,0.0,0.0,2.0,15.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,19.0,9.0,0.0,28.0,28.0,28.0,28.0,28.0
131,0.0,0.0,24.0,6.0,2.0,0.0,0.0,4.0,21.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,26.0,3.0,0.0,32.0,32.0,32.0,32.0,32.0
132,0.0,1.0,33.0,7.0,1.0,0.0,0.0,3.0,34.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,38.0,2.0,0.0,42.0,42.0,42.0,42.0,42.0
133,0.0,0.0,15.0,5.0,2.0,0.0,0.0,2.0,12.0,1.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,17.0,4.0,0.0,22.0,22.0,22.0,22.0,22.0
134,,,,,,,,,,,,,,,,,,,,,,,,,60.0,
211,1.0,0.0,14.0,2.0,2.0,0.0,1.0,0.0,18.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,14.0,3.0,1.0,19.0,19.0,19.0,19.0,19.0
