subject_ID,list_of_trr_id,gender,race,age
1.0,"4,5,",MALE,HISPANIC,38.0
2.0,"7,8,",MALE,BLACK,25.0
3.0,"9,",MALE,BLACK,24.0
4.0,"10,",MALE,BLACK,21.0
5.0,"11,12,",MALE,BLACK,21.0
6.0,"13,",MALE,BLACK,22.0
7.0,"14,",MALE,ASIAN/PACIFIC ISLANDER,21.0
8.0,"16,",MALE,BLACK,28.0
9.0,"17,",MALE,HISPANIC,55.0
10.0,"19,20,",MALE,BLACK,38.0
35574.0,"22,",MALE,HISPANIC,31.0
35575.0,"23,",MALE,HISPANIC,31.0
35576.0,"28,30,",FEMALE,BLACK,26.0
35577.0,"29,31,",MALE,BLACK,19.0
11.0,"32,",MALE,WHITE,18.0
12.0,"33,34,35,36,",MALE,BLACK,37.0
35578.0,"37,",MALE,BLACK,20.0
35579.0,"38,",MALE,BLACK,25.0
13.0,"39,40,41,",MALE,BLACK,23.0
14.0,"42,",MALE,BLACK,23.0
15.0,"49,",MALE,BLACK,19.0
16.0,"50,51,",MALE,BLACK,27.0
17.0,"53,",MALE,WHITE,53.0
18.0,"54,",MALE,WHITE,24.0
19.0,"55,",FEMALE,BLACK,20.0
20.0,"56,",MALE,BLACK,26.0
21.0,"57,",MALE,BLACK,21.0
22.0,"58,",MALE,BLACK,18.0
23.0,"59,",MALE,BLACK,36.0
24.0,"60,",FEMALE,BLACK,39.0
25.0,"63,",MALE,BLACK,31.0
26.0,"67,",MALE,BLACK,
27.0,"68,",MALE,BLACK,19.0
28.0,"69,",MALE,BLACK,21.0
35580.0,"75,78,",MALE,BLACK,48.0
29.0,"79,80,81,",MALE,BLACK,33.0
30.0,"82,",MALE,BLACK,18.0
31.0,"83,84,85,",MALE,BLACK,23.0
32.0,"86,87,",MALE,BLACK,40.0
33.0,"88,",MALE,BLACK,55.0
34.0,"90,",MALE,BLACK,19.0
35.0,"94,",MALE,HISPANIC,35.0
35581.0,"95,98,",MALE,BLACK,25.0
35582.0,"96,97,",FEMALE,BLACK,24.0
36.0,"99,",MALE,BLACK,31.0
37.0,"100,101,",MALE,WHITE,28.0
38.0,"102,",MALE,BLACK,20.0
39.0,"104,105,106,107,",MALE,BLACK,35.0
40.0,"108,109,",MALE,WHITE,40.0
41.0,"110,115,116,",MALE,HISPANIC,24.0
42.0,"111,",MALE,WHITE,46.0
43.0,"114,",FEMALE,BLACK,20.0
44.0,"118,119,",MALE,WHITE,26.0
35584.0,"120,",FEMALE,WHITE,51.0
35583.0,"121,",FEMALE,WHITE,52.0
45.0,"122,123,",MALE,BLACK,24.0
35585.0,"124,",MALE,HISPANIC,25.0
35586.0,"125,",MALE,WHITE,26.0
46.0,"126,",MALE,BLACK,48.0
47.0,"127,",MALE,BLACK,18.0
48.0,"136,137,",FEMALE,WHITE,58.0
49.0,"138,",MALE,BLACK,26.0
50.0,"139,141,142,",MALE,BLACK,25.0
51.0,"143,144,145,",MALE,WHITE,28.0
52.0,"146,147,148,",MALE,BLACK,22.0
53.0,"149,150,",MALE,BLACK,30.0
35587.0,"151,",MALE,HISPANIC,27.0
35588.0,"152,",MALE,HISPANIC,22.0
35589.0,"153,",MALE,HISPANIC,24.0
35591.0,"154,",MALE,BLACK,30.0
35590.0,"155,",FEMALE,BLACK,30.0
54.0,"157,",MALE,BLACK,41.0
35592.0,"159,",FEMALE,BLACK,31.0
35593.0,"160,161,",MALE,BLACK,45.0
35594.0,"162,",MALE,BLACK,45.0
55.0,"164,165,",MALE,BLACK,18.0
56.0,"166,",MALE,ASIAN/PACIFIC ISLANDER,29.0
57.0,"168,169,170,",FEMALE,BLACK,23.0
58.0,"171,172,173,174,175,176,177,178,180,",MALE,WHITE,29.0
59.0,"181,",MALE,BLACK,26.0
35595.0,"182,",MALE,BLACK,32.0
35596.0,"183,",MALE,BLACK,32.0
60.0,"184,185,",MALE,BLACK,29.0
61.0,"187,188,189,190,",MALE,BLACK,32.0
62.0,"191,",MALE,WHITE,35.0
63.0,"194,195,",MALE,WHITE,26.0
64.0,"196,",MALE,BLACK,30.0
65.0,"198,",MALE,BLACK,31.0
66.0,"199,200,201,",MALE,BLACK,25.0
67.0,"202,",MALE,HISPANIC,43.0
68.0,"203,",MALE,BLACK,24.0
69.0,"204,205,206,",MALE,HISPANIC,47.0
70.0,"207,",MALE,BLACK,18.0
71.0,"208,209,",MALE,BLACK,27.0
72.0,"210,",MALE,WHITE,39.0
73.0,"212,213,",MALE,BLACK,24.0
74.0,"214,",MALE,BLACK,20.0
35597.0,"215,",MALE,BLACK,36.0
35598.0,"216,",FEMALE,BLACK,34.0
75.0,"217,",MALE,BLACK,39.0
76.0,"218,",MALE,HISPANIC,42.0
77.0,"222,",MALE,BLACK,19.0
78.0,"223,224,",MALE,BLACK,32.0
79.0,"225,",MALE,BLACK,25.0
80.0,"227,228,",MALE,WHITE,27.0
81.0,"229,230,231,232,",MALE,BLACK,27.0
82.0,"233,234,",MALE,BLACK,20.0
83.0,"235,236,",FEMALE,BLACK,18.0
35599.0,"237,238,",MALE,BLACK,19.0
35600.0,"239,",MALE,BLACK,19.0
35601.0,"240,",MALE,BLACK,20.0
35602.0,"242,",MALE,BLACK,35.0
35603.0,"243,",FEMALE,BLACK,35.0
84.0,"245,",FEMALE,WHITE,39.0
85.0,"248,",MALE,WHITE,44.0
86.0,"249,250,",MALE,BLACK,41.0
87.0,"251,",MALE,HISPANIC,24.0
88.0,"252,",MALE,BLACK,19.0
89.0,"253,256,",MALE,BLACK,24.0
90.0,"254,255,257,258,",MALE,WHITE,21.0
91.0,"259,",MALE,WHITE,38.0
92.0,"260,",MALE,BLACK,20.0
93.0,"261,262,",MALE,HISPANIC,47.0
94.0,"263,",MALE,BLACK,25.0
95.0,"264,",MALE,BLACK,21.0
96.0,"266,267,",MALE,HISPANIC,25.0
97.0,"268,269,",MALE,BLACK,43.0
98.0,"270,",FEMALE,BLACK,18.0
99.0,"271,272,",MALE,BLACK,46.0
100.0,"273,274,275,276,",MALE,BLACK,18.0
101.0,"277,278,",MALE,WHITE,38.0
102.0,"279,280,",FEMALE,BLACK,51.0
103.0,"283,",MALE,HISPANIC,26.0
104.0,"284,",MALE,HISPANIC,25.0
105.0,"285,",MALE,WHITE,39.0
106.0,"286,",FEMALE,BLACK,28.0
107.0,"287,288,",MALE,BLACK,35.0
108.0,"289,",MALE,WHITE,18.0
109.0,"294,295,296,297,",MALE,BLACK,24.0
110.0,"298,",MALE,BLACK,38.0
35604.0,"299,",MALE,HISPANIC,47.0
35605.0,"300,303,",MALE,WHITE,23.0
35607.0,"301,",MALE,HISPANIC,30.0
35606.0,"302,",FEMALE,WHITE,30.0
35608.0,"304,",MALE,WHITE,26.0
111.0,"305,306,307,",MALE,BLACK,42.0
112.0,"308,309,",FEMALE,BLACK,25.0
113.0,"310,311,",MALE,HISPANIC,39.0
114.0,"312,313,",MALE,HISPANIC,35.0
35610.0,"314,",MALE,WHITE,23.0
35609.0,"315,",MALE,WHITE,81.0
115.0,"317,",MALE,BLACK,34.0
116.0,"318,319,",MALE,HISPANIC,30.0
117.0,"320,",MALE,HISPANIC,21.0
118.0,"322,323,",MALE,BLACK,26.0
119.0,"324,",MALE,BLACK,40.0
120.0,"325,326,",FEMALE,BLACK,44.0
121.0,"328,",MALE,HISPANIC,47.0
122.0,"332,",FEMALE,HISPANIC,19.0
123.0,"334,335,336,337,",MALE,BLACK,36.0
124.0,"338,",MALE,WHITE,38.0
125.0,"340,341,",MALE,BLACK,21.0
126.0,"342,",FEMALE,BLACK,34.0
35612.0,"343,345,",MALE,BLACK,19.0
35611.0,"344,",MALE,BLACK,18.0
127.0,"346,347,",FEMALE,WHITE,40.0
128.0,"349,350,",MALE,BLACK,41.0
35613.0,"358,",MALE,HISPANIC,23.0
35614.0,"359,",MALE,HISPANIC,22.0
129.0,"360,361,",MALE,BLACK,22.0
130.0,"364,369,370,",MALE,BLACK,19.0
131.0,"366,367,",MALE,BLACK,28.0
132.0,"368,",FEMALE,BLACK,21.0
133.0,"373,375,",MALE,BLACK,22.0
134.0,"374,",MALE,BLACK,39.0
35616.0,"376,",MALE,BLACK,18.0
35615.0,"377,",FEMALE,BLACK,44.0
35618.0,"378,",MALE,BLACK,27.0
35617.0,"379,",FEMALE,BLACK,44.0
35619.0,"380,",MALE,BLACK,27.0
35620.0,"381,",MALE,BLACK,27.0
135.0,"384,385,",MALE,BLACK,25.0
136.0,"386,387,",MALE,BLACK,23.0
137.0,"388,389,",MALE,BLACK,68.0
138.0,"390,",MALE,BLACK,24.0
139.0,"395,",MALE,WHITE,22.0
35621.0,"396,",FEMALE,WHITE,21.0
35622.0,"397,",FEMALE,WHITE,22.0
140.0,"398,",MALE,BLACK,18.0
141.0,"400,401,",MALE,WHITE,59.0
142.0,"402,404,",MALE,BLACK,26.0
143.0,"405,",MALE,BLACK,20.0
144.0,"409,410,",MALE,HISPANIC,27.0
145.0,"412,413,414,415,",MALE,BLACK,34.0
146.0,"418,419,",MALE,BLACK,21.0
147.0,"420,",FEMALE,BLACK,23.0
148.0,"421,",MALE,WHITE,19.0
149.0,"422,",MALE,BLACK,29.0
150.0,"425,",MALE,BLACK,39.0
151.0,"429,430,431,",MALE,BLACK,20.0
35623.0,"433,435,",MALE,BLACK,25.0
35624.0,"434,",MALE,BLACK,25.0
152.0,"436,437,",MALE,BLACK,49.0
153.0,"438,",MALE,BLACK,31.0
154.0,"439,",MALE,BLACK,34.0
155.0,"440,441,",MALE,WHITE,18.0
156.0,"444,",MALE,BLACK,23.0
157.0,"447,",MALE,BLACK,19.0
158.0,"448,",MALE,BLACK,53.0
35625.0,"449,450,",MALE,HISPANIC,26.0
159.0,"451,452,453,",MALE,BLACK,41.0
160.0,"455,",MALE,HISPANIC,32.0
161.0,"456,457,",MALE,BLACK,24.0
162.0,"459,",MALE,ASIAN/PACIFIC ISLANDER,20.0
163.0,"460,",MALE,BLACK,29.0
164.0,"461,",MALE,WHITE,19.0
165.0,"463,",MALE,BLACK,42.0
166.0,"465,",FEMALE,BLACK,24.0
167.0,"466,467,",MALE,WHITE,61.0
168.0,"468,",MALE,BLACK,43.0
169.0,"469,470,",MALE,WHITE,25.0
170.0,"472,473,474,",MALE,BLACK,44.0
171.0,"475,",MALE,BLACK,30.0
172.0,"477,478,",FEMALE,BLACK,22.0
173.0,"479,480,",MALE,BLACK,39.0
174.0,"482,485,",MALE,HISPANIC,23.0
175.0,"484,",FEMALE,BLACK,49.0
176.0,"486,",MALE,BLACK,35.0
35626.0,"487,488,",MALE,BLACK,30.0
35627.0,"489,490,",MALE,BLACK,31.0
177.0,"491,",MALE,BLACK,62.0
35629.0,"492,",MALE,BLACK,31.0
35628.0,"493,",MALE,BLACK,32.0
35630.0,"495,",FEMALE,BLACK,29.0
35631.0,"496,",FEMALE,BLACK,29.0
35632.0,"497,",FEMALE,BLACK,29.0
35633.0,"498,499,500,",MALE,BLACK,35.0
178.0,"504,",MALE,HISPANIC,38.0
179.0,"505,506,",FEMALE,BLACK,19.0
180.0,"507,508,",FEMALE,BLACK,42.0
181.0,"511,512,",MALE,BLACK,21.0
182.0,"513,",MALE,BLACK,33.0
183.0,"514,",MALE,BLACK,36.0
184.0,"515,",FEMALE,BLACK,30.0
185.0,"516,",MALE,BLACK,34.0
186.0,"517,519,",MALE,BLACK,21.0
187.0,"520,524,",MALE,HISPANIC,33.0
188.0,"523,525,",MALE,HISPANIC,19.0
189.0,"526,529,",FEMALE,BLACK,51.0
190.0,"527,",MALE,BLACK,28.0
191.0,"528,530,",MALE,BLACK,39.0
192.0,"531,",FEMALE,BLACK,36.0
193.0,"535,536,539,540,541,543,544,",MALE,BLACK,26.0
194.0,"542,",MALE,BLACK,23.0
195.0,"545,",MALE,BLACK,37.0
196.0,"547,",MALE,BLACK,20.0
197.0,"549,",MALE,HISPANIC,18.0
198.0,"551,",MALE,HISPANIC,22.0
199.0,"553,",MALE,BLACK,27.0
200.0,"554,",MALE,BLACK,27.0
201.0,"555,556,",MALE,BLACK,26.0
202.0,"558,",MALE,HISPANIC,24.0
203.0,"563,564,",FEMALE,BLACK,18.0
204.0,"565,",MALE,BLACK,27.0
205.0,"566,",FEMALE,BLACK,32.0
206.0,"567,568,",MALE,WHITE,26.0
207.0,"569,570,",FEMALE,BLACK,28.0
208.0,"576,",MALE,HISPANIC,29.0
209.0,"580,581,",FEMALE,BLACK,41.0
210.0,"582,",FEMALE,BLACK,33.0
35634.0,"583,",MALE,HISPANIC,30.0
35635.0,"584,",MALE,HISPANIC,26.0
35637.0,"585,",MALE,,22.0
35636.0,"586,587,",MALE,BLACK,21.0
211.0,"588,",MALE,WHITE,41.0
212.0,"589,590,591,",MALE,BLACK,23.0
213.0,"592,",FEMALE,BLACK,18.0
214.0,"593,594,595,",MALE,BLACK,21.0
35638.0,"596,",FEMALE,HISPANIC,22.0
215.0,"599,600,",MALE,BLACK,31.0
216.0,"601,",MALE,BLACK,19.0
217.0,"602,603,",MALE,BLACK,35.0
218.0,"604,",MALE,BLACK,22.0
219.0,"605,606,",MALE,BLACK,38.0
220.0,"608,",MALE,BLACK,42.0
35641.0,"609,",MALE,BLACK,23.0
35642.0,"610,611,",MALE,BLACK,25.0
221.0,"612,614,",MALE,BLACK,27.0
222.0,"613,",FEMALE,HISPANIC,47.0
223.0,"615,",MALE,BLACK,28.0
35643.0,"617,",FEMALE,BLACK,54.0
224.0,"618,",MALE,HISPANIC,28.0
225.0,"619,621,",MALE,BLACK,24.0
35644.0,"620,",FEMALE,BLACK,45.0
226.0,"622,",MALE,BLACK,18.0
227.0,"623,",MALE,BLACK,24.0
228.0,"626,627,",MALE,BLACK,26.0
229.0,"628,",MALE,BLACK,22.0
230.0,"629,",MALE,WHITE,29.0
231.0,"630,631,632,633,",MALE,BLACK,23.0
35645.0,"634,636,",FEMALE,BLACK,37.0
35646.0,"635,",FEMALE,BLACK,22.0
232.0,"637,639,",MALE,WHITE,41.0
233.0,"638,",MALE,BLACK,23.0
35648.0,"640,",MALE,BLACK,24.0
35647.0,"641,642,646,",MALE,BLACK,28.0
234.0,"643,644,645,",MALE,BLACK,20.0
235.0,"647,648,",MALE,HISPANIC,21.0
236.0,"649,650,",MALE,HISPANIC,22.0
237.0,"652,",MALE,BLACK,19.0
35649.0,"653,",MALE,BLACK,22.0
35650.0,"654,",MALE,BLACK,25.0
35651.0,"655,",MALE,BLACK,19.0
35652.0,"656,",MALE,BLACK,35.0
35653.0,"657,",MALE,BLACK,23.0
238.0,"658,660,661,662,663,664,",MALE,BLACK,41.0
239.0,"659,",MALE,BLACK,29.0
240.0,"665,666,",MALE,WHITE,28.0
241.0,"667,668,",MALE,BLACK,29.0
242.0,"669,",FEMALE,BLACK,18.0
243.0,"670,",MALE,BLACK,25.0
244.0,"672,",FEMALE,WHITE,29.0
245.0,"673,674,",FEMALE,WHITE,29.0
246.0,"677,",MALE,BLACK,36.0
247.0,"678,679,",MALE,WHITE,38.0
35654.0,"680,",MALE,HISPANIC,21.0
248.0,"681,",MALE,BLACK,56.0
35655.0,"682,",MALE,HISPANIC,19.0
249.0,"683,684,",FEMALE,BLACK,21.0
250.0,"685,",MALE,BLACK,25.0
251.0,"686,",MALE,BLACK,24.0
252.0,"688,",FEMALE,BLACK,25.0
253.0,"690,692,",MALE,BLACK,21.0
254.0,"691,",MALE,BLACK,52.0
255.0,"696,699,700,701,702,",MALE,WHITE,21.0
256.0,"698,",MALE,WHITE,29.0
257.0,"703,704,",MALE,BLACK,23.0
258.0,"705,",MALE,BLACK,18.0
259.0,"709,712,",MALE,BLACK,23.0
260.0,"710,711,",MALE,BLACK,31.0
261.0,"713,714,715,",MALE,BLACK,24.0
262.0,"716,717,",MALE,BLACK,27.0
263.0,"719,",MALE,BLACK,28.0
264.0,"720,721,",MALE,NATIVE AMERICAN/ALASKAN NATIVE,29.0
265.0,"722,",FEMALE,BLACK,37.0
266.0,"723,724,",MALE,HISPANIC,19.0
267.0,"727,729,",MALE,BLACK,31.0
268.0,"730,731,732,",MALE,BLACK,19.0
269.0,"733,734,",MALE,BLACK,20.0
270.0,"735,",MALE,WHITE,22.0
271.0,"736,",FEMALE,BLACK,18.0
272.0,"737,",MALE,BLACK,60.0
273.0,"740,742,",MALE,BLACK,20.0
274.0,"744,",FEMALE,BLACK,29.0
275.0,"745,",MALE,BLACK,40.0
276.0,"748,749,750,",FEMALE,BLACK,24.0
277.0,"751,752,753,",MALE,BLACK,22.0
278.0,"754,755,756,761,",MALE,BLACK,20.0
279.0,"758,759,760,",MALE,BLACK,19.0
280.0,"762,",MALE,BLACK,19.0
281.0,"763,764,",MALE,HISPANIC,28.0
282.0,"766,",MALE,BLACK,20.0
283.0,"767,",MALE,BLACK,30.0
284.0,"768,",MALE,HISPANIC,27.0
35656.0,"769,",FEMALE,BLACK,41.0
35657.0,"770,",FEMALE,BLACK,69.0
35658.0,"771,775,",MALE,BLACK,19.0
35659.0,"772,773,774,",MALE,BLACK,18.0
285.0,"776,",MALE,BLACK,33.0
286.0,"777,",MALE,ASIAN/PACIFIC ISLANDER,20.0
287.0,"778,779,",MALE,BLACK,28.0
288.0,"780,",FEMALE,BLACK,23.0
289.0,"781,",MALE,BLACK,27.0
290.0,"782,",MALE,BLACK,25.0
291.0,"784,",MALE,BLACK,20.0
292.0,"785,787,",MALE,BLACK,37.0
293.0,"786,",MALE,BLACK,60.0
35660.0,"788,",MALE,BLACK,27.0
35661.0,"789,",MALE,BLACK,27.0
294.0,"790,",MALE,BLACK,32.0
295.0,"791,",MALE,BLACK,20.0
296.0,"792,",MALE,BLACK,23.0
297.0,"796,797,798,800,",FEMALE,BLACK,37.0
298.0,"802,806,",MALE,BLACK,43.0
299.0,"803,",MALE,BLACK,21.0
35663.0,"805,808,809,",MALE,HISPANIC,32.0
35662.0,"807,",MALE,BLACK,32.0
300.0,"811,812,813,814,",MALE,BLACK,27.0
301.0,"815,816,817,818,",MALE,BLACK,40.0
302.0,"819,",MALE,BLACK,21.0
303.0,"820,",MALE,BLACK,22.0
304.0,"821,822,",MALE,BLACK,45.0
305.0,"823,",MALE,BLACK,25.0
306.0,"824,825,826,",MALE,BLACK,22.0
307.0,"827,828,",MALE,BLACK,24.0
308.0,"829,",MALE,HISPANIC,21.0
309.0,"830,831,",MALE,HISPANIC,28.0
310.0,"832,",MALE,BLACK,21.0
311.0,"833,834,",MALE,HISPANIC,22.0
312.0,"835,836,837,",MALE,BLACK,26.0
35665.0,"846,",MALE,WHITE,26.0
35664.0,"847,",MALE,BLACK,22.0
313.0,"848,",MALE,BLACK,44.0
314.0,"849,851,",MALE,BLACK,26.0
35666.0,"855,",MALE,BLACK,80.0
35667.0,"856,",MALE,BLACK,40.0
315.0,"857,",MALE,BLACK,28.0
316.0,"859,",MALE,BLACK,18.0
317.0,"860,861,",MALE,BLACK,27.0
318.0,"862,",FEMALE,BLACK,31.0
319.0,"863,867,869,872,",MALE,BLACK,20.0
35668.0,"864,",FEMALE,HISPANIC,20.0
35669.0,"866,",FEMALE,WHITE,20.0
35670.0,"870,",MALE,BLACK,21.0
35671.0,"871,",MALE,BLACK,21.0
35672.0,"873,",MALE,BLACK,21.0
35673.0,"874,",MALE,BLACK,24.0
320.0,"875,876,",MALE,BLACK,32.0
321.0,"879,",MALE,BLACK,20.0
322.0,"881,882,",MALE,BLACK,26.0
