beat,num_incidents_firearm,num_passive_resistor,num_active_resistor,num_assailant_assault,num_assailant_assault/battery,num_assailant_battery,num_assailant_deadly_force,num_hispanic,num_black,num_asian,num_white,num_other,num_native,num_member_fired_first,num_other_fired_first,num_offender_fired_first,num_other_force,num_physical_force-holding/taser_display,num_physical_force-stunning/chemical,"num_impact_weapon/taser/physical_force-direct_mechanical,",num_firearm,num_incidents_injury,num_incidents_pb_1,num_incidents_pb_2,num_incidents_pb_3
111,3,2,67,15,12,40,5,8,97,0,31,3,2,8,0,3,5,14,91,23,3,36,136,36,89
112,0,0,35,5,9,18,0,6,39,1,18,3,0,1,0,0,2,9,42,13,0,20,66,20,44
113,0,1,63,22,6,43,1,4,87,0,43,2,0,6,0,0,8,11,89,18,0,27,126,27,77
114,0,0,43,14,2,19,0,9,31,0,33,5,0,5,0,0,3,3,58,11,0,19,75,19,56
121,0,0,8,0,1,4,0,2,8,0,3,0,0,0,0,0,0,2,8,3,0,5,13,5,9
122,3,1,75,16,12,46,12,8,116,2,35,1,0,12,0,0,11,25,94,24,3,32,157,32,94
123,0,2,103,33,8,53,0,18,140,5,36,0,0,6,0,0,5,23,138,26,0,40,192,40,135
124,0,0,70,14,13,47,3,11,84,0,50,2,0,7,0,0,11,9,94,29,0,43,143,43,85
131,0,3,93,43,10,80,7,23,169,0,40,3,1,16,0,0,13,32,137,37,1,62,220,62,130
132,2,4,145,38,19,145,15,36,242,3,83,2,0,15,2,0,26,35,231,58,2,103,352,103,172
133,0,2,43,10,9,22,1,11,51,1,23,1,0,6,1,0,9,4,54,14,0,33,81,33,51
211,2,0,43,9,3,33,4,0,91,1,0,0,0,7,0,1,6,5,60,18,2,39,91,39,51
212,6,1,75,21,9,52,14,0,168,1,1,2,0,14,0,5,7,8,102,40,6,65,163,65,101
213,5,2,53,16,6,17,5,1,98,0,0,0,0,15,0,3,4,10,58,21,5,31,98,31,79
214,1,0,40,12,3,18,4,0,77,0,0,0,0,8,0,0,0,5,49,20,1,24,75,24,54
215,0,0,17,4,1,3,0,0,25,0,0,0,0,2,0,0,1,2,19,3,0,5,25,5,20
221,2,0,30,11,4,29,6,0,79,0,1,0,0,7,1,0,3,5,43,27,2,23,80,23,47
222,6,3,62,12,6,44,16,0,140,2,1,0,0,14,1,0,12,13,80,24,6,38,135,38,81
223,0,0,51,11,3,19,2,1,80,0,1,4,0,7,0,0,0,8,59,18,0,37,85,37,63
224,3,0,62,11,4,33,9,0,115,1,0,3,0,8,1,0,3,9,77,21,3,36,113,36,76
225,0,0,29,5,4,35,1,6,66,1,1,0,0,1,0,0,4,9,45,12,0,20,70,20,33
231,1,0,22,14,5,21,3,0,65,0,0,0,0,5,0,0,2,5,33,18,1,13,59,13,40
232,3,2,110,27,18,93,7,3,249,0,2,3,0,17,0,1,24,30,129,58,3,82,244,82,133
233,10,1,89,11,14,29,17,0,156,0,0,5,0,19,1,5,8,9,104,24,10,62,155,62,116
234,7,0,43,13,5,37,9,1,100,1,0,5,0,16,0,0,3,1,69,23,7,37,103,37,65
235,0,0,5,1,2,1,0,0,8,0,1,0,0,0,0,0,2,0,7,0,0,1,9,1,6
311,3,0,79,20,16,55,6,2,172,0,1,1,0,11,0,2,4,11,107,41,3,56,166,56,105
