beat,number_of_trr_reports,list_of_trr_ids
111,141,"786,3722,3723,3724,3725,3727,8771,8772,8773,9731,10322,11638,11640,11641,11642,11643,11644,17777,17778,17780,19378,19379,19381,19382,26232,26234,39780,42197,42199,42955,42956,46277,46279,47997,48880,53380,53713,53715,55553,55555,55556,57745,59520,59521,59522,59523,63411,63611,63781,63783,63927,63928,64295,64401,65384,65386,68805,68806,68826,69243,69244,70190,70195,71019,71020,71517,71521,71591,72709,73888,75493,75494,76911,78753,78754,78792,78800,80606,80820,80822,81277,81278,81446,81447,81448,81449,81450,81465,81515,81529,81682,82110,82451,82754,83951,83952,84877,85206,85577,85804,86250,86484,86485,86541,86946,87600,87601,87602,87640,87642,87759,87760,88224,88550,88889,89376,90895,91559,91562,91563,91763,91764,92401,92402,92403,92977,92978,92980,93356,94425,94426,94595,94600,94708,94797,95498,95499,95500,95501,95639,95640,"
112,67,"279,280,2947,10483,12117,12214,18725,18726,20395,21666,25944,26519,26777,28686,34310,40249,42391,45236,48395,48398,48401,48910,48911,50114,59205,60743,65249,68007,68429,68748,68896,69953,70211,73850,73851,76152,76660,76661,76662,78608,79177,79178,80650,80651,80652,83495,83496,84406,86251,86995,87481,87482,90074,92891,92892,92893,93405,93406,95046,95049,95086,95192,95193,95194,95772,95773,95946,"
113,136,"737,1028,1029,8204,8205,13050,13740,16963,16982,20345,22409,22410,22488,24729,25642,25643,30891,31366,33048,39024,39027,39095,40298,40839,43578,43579,44485,45128,45129,45134,45135,45137,45138,45139,45557,45558,45562,51721,51722,54050,56486,56490,56491,56493,56494,56495,57157,57158,58908,60398,60695,60697,60750,60751,60752,65973,67801,68327,68452,69410,69659,70271,70273,70287,70795,70796,70905,70906,71348,71733,71734,72886,74035,74401,74816,75049,75769,76344,77097,78277,78279,79281,79402,81886,81887,82115,82116,82789,82791,82792,83419,84065,85703,86330,87877,87878,87879,87900,87901,88532,89146,89460,89461,90194,91009,92068,92070,92157,92158,92169,92170,92171,92429,92633,92761,92897,92900,92901,92902,94069,94766,94975,94977,94978,95137,95138,95139,95162,95367,95368,95506,95942,95943,95944,95945,96101,"
114,78,"68897,70202,71493,71566,71896,72098,72101,72116,72117,72130,72131,72157,73423,73817,75016,75018,75785,76938,77667,77933,77934,78380,78381,78383,79105,79106,79107,79109,79110,79764,80628,80837,81349,81392,83666,83672,84796,85302,85304,85426,85462,85509,85510,85707,85733,85770,87836,87837,88012,88715,88717,88718,89538,89539,89578,91144,91145,91256,92060,92341,92343,92345,92369,92370,92408,92409,93806,94565,94566,94567,94568,94569,95297,96178,96243,96244,96245,96246,"
121,13,"70909,76212,76706,80616,82312,86627,86629,91977,91978,94472,94473,94474,95677,"
122,162,"286,1700,2206,2608,2609,4766,4767,4937,4938,5010,5716,6923,9270,9985,13046,13211,13624,17424,18100,19237,19238,23046,23608,23879,26927,28399,28400,29356,31164,31244,31247,35346,35628,38376,38681,38686,40322,40523,41087,41193,42152,42561,42720,42721,43421,44072,44078,44079,44080,44085,44213,44214,45565,47024,47309,48500,49115,49256,49258,49259,49261,49277,49284,49286,49294,49302,49885,49886,50074,51143,52236,52268,52274,52275,54001,54229,55043,55044,56035,56381,56383,56385,56386,57193,57707,57709,58663,58877,59510,59733,60124,60130,62463,64235,65108,65825,66006,66045,66163,66801,66996,67605,67713,67714,68142,68560,68827,68828,69032,69781,70131,70133,71982,72431,72469,72885,73874,77550,77551,77788,78765,79200,79202,79207,80692,81773,81775,81776,81777,81778,81780,81781,82746,83041,83573,83574,84004,87683,88249,89219,89231,89232,89233,89422,90973,91862,91863,91864,92010,92011,92012,94715,94716,94717,94718,94719,94720,94721,94908,95556,95557,95558,"
123,199,"1300,1301,1516,1651,1652,2734,2739,2998,2999,5777,6552,6553,6554,6556,6557,6704,6705,7243,8004,9334,9336,9337,9444,9446,9447,10915,10920,11320,12985,15697,16386,17573,17898,17899,19136,19666,19817,19953,19954,22217,22849,22850,23385,23573,23593,23594,23659,23701,24040,24781,28980,32787,32791,32797,33141,35344,36294,43789,45059,45667,45975,45981,48530,48532,48670,48671,52472,52479,52481,52482,52485,52614,52615,52921,52922,53377,53637,53639,54459,55497,55499,55691,55880,55883,57053,57155,57491,58633,60042,60633,60863,61087,61091,63354,63357,63359,63464,64319,64320,64856,65543,65689,66269,66822,66825,67531,67541,67782,68347,68351,68640,68641,69189,69206,69573,70859,71850,71889,71890,71891,72068,73104,73983,73985,73991,73992,74660,75030,75370,75621,75622,76041,76042,76043,77318,79111,79917,80042,80043,80044,80045,80046,80047,80050,80052,80200,80201,80240,80241,80242,80538,81103,81104,81741,81928,81929,82491,82722,82939,83624,83975,83979,84051,84052,84053,84504,84505,84506,88637,88638,88675,88676,88810,89501,89548,89549,89670,89671,89672,90576,91259,91909,91910,92425,92921,93112,93113,93248,93250,93252,93254,93426,93427,93573,93574,94547,94675,95148,95664,"
124,147,"6188,7618,8905,8906,8907,9079,9081,9288,9289,9360,11699,11700,14923,15454,15455,15551,15553,15796,16363,16364,16452,17082,17092,17093,17094,17095,17096,17518,17958,17959,17961,20574,23424,23508,23509,24601,24602,32618,32785,32800,32802,32804,32819,32826,32890,32892,33291,42202,42204,42208,42209,42213,42215,42382,42385,43461,43481,43485,43486,43609,43610,45416,45669,46542,46793,46795,47104,47519,47520,47576,49779,49780,50088,50089,50867,51846,52284,52285,52286,52333,52459,52613,53599,53601,53603,53848,53955,58025,63101,63105,63107,63108,63109,63263,63264,63509,65607,65608,65609,65610,67308,68143,71371,71372,72007,72341,74622,74625,76332,76333,76793,78384,79454,79465,79485,80233,80234,81146,82941,82942,83084,84712,85749,87181,90239,90852,90854,90857,91715,91719,93203,93446,93514,93528,93529,94085,94424,94427,94428,95437,95670,95672,96082,96083,96305,96307,96309,"
131,236,"1952,3113,4443,6757,10803,10804,10805,11846,11847,12649,16461,17203,26187,30357,30358,30359,30360,31828,31836,34697,34759,34762,36510,36512,37964,39634,42147,42665,42667,42669,43127,43129,45697,45699,46515,47451,47781,50366,52903,52904,52907,54435,55066,56746,58549,58701,59079,59080,59081,59949,62897,63670,63671,65823,66729,66730,66753,66754,67701,68271,68561,69444,69445,69449,69614,69643,69644,69979,69983,70214,70215,70268,70280,70281,70299,70300,70377,70399,70400,70413,70424,70434,70439,70850,71180,71524,71526,73716,73869,73870,74267,74334,74336,74337,74338,74685,74850,75284,75285,75411,75412,75604,75620,75675,75676,75677,75678,75679,75766,76044,76108,76109,76110,76306,76307,76308,76482,76483,76611,76807,76951,77215,77513,77514,79295,79296,79836,79838,80229,80230,80231,80413,80457,80495,80496,80498,80654,80655,80933,80934,81239,81335,81352,81353,81354,81384,81385,81411,81413,81613,82564,82566,82568,82574,82591,82599,82600,82602,82690,83000,83001,83002,83003,83005,83042,83129,83130,83424,83545,84789,84790,84791,85202,85537,85538,86634,86635,86704,86705,86706,86915,87653,87654,87774,87804,87927,87958,87959,88013,88014,88016,88315,88743,88787,88857,88858,88861,88862,88894,89220,89301,89502,90265,90451,90452,91179,91184,91727,91728,91836,91837,92042,92173,92175,92331,93205,93206,93222,93223,93569,93579,93580,93581,94665,94666,94667,94699,95084,95089,95430,95431,95432,95433,95434,95865,96403,"
132,366,"138,157,553,554,555,556,1443,1446,1447,1469,1693,1694,1941,2668,2671,2921,2923,2924,3552,4383,5177,5179,5236,5238,5246,5247,5248,5616,5861,5862,5865,5887,5889,5890,5891,5892,5893,5978,6126,6127,6139,6368,6555,6795,7048,7049,7409,7411,7597,8290,8371,8375,8790,8861,9887,9889,9960,9964,9966,10131,10801,10802,11102,11103,11161,11289,11290,11420,11422,11423,11424,11515,12237,12238,12252,12460,12461,12698,12800,12814,12815,12847,13304,13507,13568,13569,13655,13656,13659,13868,13869,13870,13877,14034,14111,14356,14357,14658,14659,14764,14765,14926,14929,14958,15139,15140,15252,15253,15335,15336,15508,16818,16839,16840,16841,16885,17555,17718,18141,18404,18552,18554,18555,19419,19484,19485,19631,20227,20228,20584,20585,21369,21370,21877,22168,22195,23125,23171,23331,23373,23667,23938,24007,24341,24342,24524,24525,24526,25957,25959,26024,26301,26303,26746,26915,27077,27101,27102,28715,28718,28911,29477,29844,29846,30220,30222,30223,30224,30226,30556,30796,31257,32593,32594,32660,32661,33596,33631,34130,34262,34270,34272,34274,34610,36613,36616,36981,37006,37007,37190,37604,37606,37803,37806,37808,39229,39234,39236,39243,39244,39246,39349,39352,39552,39824,39826,40771,41495,41497,41501,41916,41919,42386,42388,42418,43143,43145,43959,43961,43963,43965,44695,45715,45963,45966,45967,46069,46151,47013,47563,47564,47735,47736,48087,48092,48304,48468,48553,48560,48976,49471,49564,49618,49619,49620,49622,50072,50076,50356,50495,50497,50498,50502,50576,50577,50828,51129,51130,51133,51190,51243,51382,52906,52909,53115,53185,53875,53877,53879,53880,54841,54843,55109,55110,55131,55267,55907,55909,56267,56649,57421,57423,57424,57779,58113,58145,59358,59419,59421,59422,59540,60923,60924,61967,61968,62957,63827,64030,64033,64037,64131,64132,64489,65117,65118,65122,65295,65296,65337,65362,66007,66287,66469,66561,66562,66563,66613,66895,67010,67011,67013,67019,67191,67598,67910,67911,68001,70643,71057,73026,73717,73718,78252,78254,78870,79615,80383,80667,83009,84208,84211,84316,84317,84319,84320,84321,84322,84324,84325,84330,85094,88287,88288,88289,88930,88931,88933,88935,91223,91285,91286,91519,91520,91521,93319,93325,"
