race_of_subjects,num_of_subjects,list_of_trr
"HISPANIC,",1,"4,5,"
"BLACK,",1,"7,8,"
"BLACK,",1,"9,"
"BLACK,",1,"10,"
"BLACK,",1,"11,12,"
"BLACK,",1,"13,"
"ASIAN/PACIFIC ISLANDER,",1,"14,"
"BLACK,",1,"16,"
"HISPANIC,",1,"17,"
"BLACK,",1,"19,20,"
"HISPANIC,HISPANIC,",2,"22,23,"
"BLACK,BLACK,",2,"28,29,30,31,"
"WHITE,",1,"32,"
"BLACK,",1,"33,34,35,36,"
"BLACK,BLACK,",2,"37,38,"
"BLACK,",1,"39,40,41,"
"BLACK,",1,"42,"
"BLACK,",1,"49,"
"BLACK,",1,"50,51,"
"WHITE,",1,"53,"
"WHITE,",1,"54,"
"BLACK,",1,"55,"
"BLACK,",1,"56,"
"BLACK,",1,"57,"
"BLACK,",1,"58,"
"BLACK,",1,"59,"
"BLACK,",1,"60,"
"BLACK,",1,"63,"
"BLACK,",1,"67,"
"BLACK,",1,"68,"
"BLACK,",1,"69,"
"BLACK,",1,"75,78,"
"BLACK,",1,"79,80,81,"
"BLACK,",1,"82,"
"BLACK,",1,"83,84,85,"
"BLACK,",1,"86,87,"
"BLACK,",1,"88,"
"BLACK,",1,"90,"
"HISPANIC,",1,"94,"
"BLACK,BLACK,",2,"95,96,97,98,"
"BLACK,",1,"99,"
"WHITE,",1,"100,101,"
"BLACK,",1,"102,"
"BLACK,",1,"104,105,106,107,"
"WHITE,",1,"108,109,"
"HISPANIC,",1,"110,115,116,"
"WHITE,",1,"111,"
"BLACK,",1,"114,"
"WHITE,",1,"118,119,"
"WHITE,WHITE,",2,"120,121,"
"BLACK,",1,"122,123,"
"HISPANIC,WHITE,",2,"124,125,"
"BLACK,",1,"126,"
"BLACK,",1,"127,"
"WHITE,",1,"136,137,"
"BLACK,",1,"138,"
"BLACK,",1,"139,141,142,"
"WHITE,",1,"143,144,145,"
"BLACK,",1,"146,147,148,"
"BLACK,",1,"149,150,"
"HISPANIC,HISPANIC,HISPANIC,",3,"151,152,153,"
"BLACK,BLACK,",2,"154,155,"
"BLACK,",1,"157,"
"BLACK,BLACK,BLACK,",3,"159,160,161,162,"
"BLACK,",1,"164,165,"
"ASIAN/PACIFIC ISLANDER,",1,"166,"
"BLACK,",1,"168,169,170,"
"WHITE,",1,"171,172,173,174,175,176,177,178,180,"
"BLACK,",1,"181,"
"BLACK,BLACK,",2,"182,183,"
"BLACK,",1,"184,185,"
"BLACK,",1,"187,188,189,190,"
"WHITE,",1,"191,"
"WHITE,",1,"194,195,"
"BLACK,",1,"196,"
"BLACK,",1,"198,"
"BLACK,",1,"199,200,201,"
"HISPANIC,",1,"202,"
"BLACK,",1,"203,"
"HISPANIC,",1,"204,205,206,"
"BLACK,",1,"207,"
"BLACK,",1,"208,209,"
"WHITE,",1,"210,"
"BLACK,",1,"212,213,"
"BLACK,",1,"214,"
"BLACK,BLACK,",2,"215,216,"
"BLACK,",1,"217,"
"HISPANIC,",1,"218,"
"BLACK,",1,"222,"
"BLACK,",1,"223,224,"
"BLACK,",1,"225,"
"WHITE,",1,"227,228,"
"BLACK,",1,"229,230,231,232,"
"BLACK,",1,"233,234,"
"BLACK,",1,"235,236,"
"BLACK,BLACK,BLACK,",3,"237,238,239,240,"
"BLACK,BLACK,",2,"242,243,"
"WHITE,",1,"245,"
"WHITE,",1,"248,"
"BLACK,",1,"249,250,"
"HISPANIC,",1,"251,"
"BLACK,",1,"252,"
"BLACK,",1,"253,256,"
"WHITE,",1,"254,255,257,258,"
"WHITE,",1,"259,"
"BLACK,",1,"260,"
"HISPANIC,",1,"261,262,"
"BLACK,",1,"263,"
"BLACK,",1,"264,"
"HISPANIC,",1,"266,267,"
"BLACK,",1,"268,269,"
"BLACK,",1,"270,"
"BLACK,",1,"271,272,"
"BLACK,",1,"273,274,275,276,"
"WHITE,",1,"277,278,"
"BLACK,",1,"279,280,"
"HISPANIC,",1,"283,"
"HISPANIC,",1,"284,"
"WHITE,",1,"285,"
"BLACK,",1,"286,"
"BLACK,",1,"287,288,"
"WHITE,",1,"289,"
"BLACK,",1,"294,295,296,297,"
"BLACK,",1,"298,"
"HISPANIC,WHITE,HISPANIC,WHITE,WHITE,",5,"299,300,301,302,303,304,"
"BLACK,",1,"305,306,307,"
"BLACK,",1,"308,309,"
"HISPANIC,",1,"310,311,"
"HISPANIC,",1,"312,313,"
"WHITE,WHITE,",2,"314,315,"
"BLACK,",1,"317,"
"HISPANIC,",1,"318,319,"
"HISPANIC,",1,"320,"
"BLACK,",1,"322,323,"
"BLACK,",1,"324,"
"BLACK,",1,"325,326,"
"HISPANIC,",1,"328,"
"HISPANIC,",1,"332,"
"BLACK,",1,"334,335,336,337,"
"WHITE,",1,"338,"
"BLACK,",1,"340,341,"
"BLACK,",1,"342,"
"BLACK,BLACK,",2,"343,344,345,"
"WHITE,",1,"346,347,"
"BLACK,",1,"349,350,"
"HISPANIC,HISPANIC,",2,"358,359,"
"BLACK,",1,"360,361,"
"BLACK,",1,"364,369,370,"
"BLACK,",1,"366,367,"
"BLACK,",1,"368,"
"BLACK,",1,"373,375,"
"BLACK,",1,"374,"
"BLACK,BLACK,BLACK,",3,"376,377,379,"
"BLACK,BLACK,BLACK,",3,"378,380,381,"
"BLACK,",1,"384,385,"
"BLACK,",1,"386,387,"
"BLACK,",1,"388,389,"
"BLACK,",1,"390,"
"WHITE,",1,"395,"
"WHITE,WHITE,",2,"396,397,"
"BLACK,",1,"398,"
"WHITE,",1,"400,401,"
"BLACK,",1,"402,404,"
"BLACK,",1,"405,"
"HISPANIC,",1,"409,410,"
"BLACK,",1,"412,413,414,415,"
"BLACK,",1,"418,419,"
"BLACK,",1,"420,"
"WHITE,",1,"421,"
"BLACK,",1,"422,"
"BLACK,",1,"425,"
"BLACK,",1,"429,430,431,"
"BLACK,BLACK,",2,"433,434,435,"
"BLACK,",1,"436,437,"
"BLACK,",1,"438,"
"BLACK,",1,"439,"
"WHITE,",1,"440,441,"
"BLACK,",1,"444,"
"BLACK,",1,"447,"
"BLACK,",1,"448,"
"HISPANIC,",1,"449,450,"
"BLACK,",1,"451,452,453,"
"HISPANIC,",1,"455,"
"BLACK,",1,"456,457,"
"ASIAN/PACIFIC ISLANDER,",1,"459,"
"BLACK,",1,"460,"
"WHITE,",1,"461,"
"BLACK,",1,"463,"
"BLACK,",1,"465,"
"WHITE,",1,"466,467,"
"BLACK,",1,"468,"
"WHITE,",1,"469,470,"
"BLACK,",1,"472,473,474,"
"BLACK,",1,"475,"
"BLACK,",1,"477,478,"
"BLACK,",1,"479,480,"
"HISPANIC,",1,"482,485,"
"BLACK,",1,"484,"
"BLACK,",1,"486,"
"BLACK,BLACK,",2,"487,488,489,490,"
"BLACK,",1,"491,"
"BLACK,BLACK,",2,"492,493,"
"BLACK,BLACK,BLACK,BLACK,",4,"495,496,497,498,499,500,"
"HISPANIC,",1,"504,"
"BLACK,",1,"505,506,"
"BLACK,",1,"507,508,"
"BLACK,",1,"511,512,"
"BLACK,",1,"513,"
"BLACK,",1,"514,"
"BLACK,",1,"515,"
"BLACK,",1,"516,"
"BLACK,",1,"517,519,"
"HISPANIC,",1,"520,524,"
"HISPANIC,",1,"523,525,"
"BLACK,",1,"526,529,"
"BLACK,",1,"527,"
"BLACK,",1,"528,530,"
"BLACK,",1,"531,"
"BLACK,",1,"535,536,539,540,541,543,544,"
"BLACK,",1,"542,"
"BLACK,",1,"545,"
"BLACK,",1,"547,"
"HISPANIC,",1,"549,"
"HISPANIC,",1,"551,"
"BLACK,",1,"553,"
"BLACK,",1,"554,"
"BLACK,",1,"555,556,"
"HISPANIC,",1,"558,"
"BLACK,",1,"563,564,"
"BLACK,",1,"565,"
"BLACK,",1,"566,"
"WHITE,",1,"567,568,"
"BLACK,",1,"569,570,"
"HISPANIC,",1,"576,"
"BLACK,",1,"580,581,"
"BLACK,",1,"582,"
"HISPANIC,HISPANIC,",2,"583,584,"
"OTHER,BLACK,",2,"585,586,587,"
"WHITE,",1,"588,"
"BLACK,",1,"589,590,591,"
"BLACK,",1,"592,"
"BLACK,",1,"593,594,595,"
"HISPANIC,WHITE,BLACK,",3,"596,885,1130,"
"BLACK,",1,"599,600,"
"BLACK,",1,"601,"
"BLACK,",1,"602,603,"
"BLACK,",1,"604,"
"BLACK,",1,"605,606,"
"BLACK,",1,"608,"
"BLACK,BLACK,",2,"609,610,611,"
"BLACK,",1,"612,614,"
"HISPANIC,",1,"613,"
"BLACK,",1,"615,"
"BLACK,BLACK,",2,"617,620,"
"HISPANIC,",1,"618,"
"BLACK,",1,"619,621,"
"BLACK,",1,"622,"
"BLACK,",1,"623,"
"BLACK,",1,"626,627,"
"BLACK,",1,"628,"
"WHITE,",1,"629,"
"BLACK,",1,"630,631,632,633,"
"BLACK,BLACK,",2,"634,635,636,"
"WHITE,",1,"637,639,"
"BLACK,",1,"638,"
"BLACK,BLACK,",2,"640,641,642,646,"
"BLACK,",1,"643,644,645,"
"HISPANIC,",1,"647,648,"
"HISPANIC,",1,"649,650,"
"BLACK,",1,"652,"
"BLACK,BLACK,BLACK,BLACK,BLACK,",5,"653,654,655,656,657,"
"BLACK,",1,"658,660,661,662,663,664,"
"BLACK,",1,"659,"
"WHITE,",1,"665,666,"
"BLACK,",1,"667,668,"
"BLACK,",1,"669,"
"BLACK,",1,"670,"
"WHITE,",1,"672,"
"WHITE,",1,"673,674,"
"BLACK,",1,"677,"
"WHITE,",1,"678,679,"
"HISPANIC,HISPANIC,",2,"680,682,"
"BLACK,",1,"681,"
"BLACK,",1,"683,684,"
"BLACK,",1,"685,"
"BLACK,",1,"686,"
"BLACK,",1,"688,"
"BLACK,",1,"690,692,"
"BLACK,",1,"691,"
"WHITE,",1,"696,699,700,701,702,"
"WHITE,",1,"698,"
"BLACK,",1,"703,704,"
"BLACK,",1,"705,"
"BLACK,",1,"709,712,"
"BLACK,",1,"710,711,"
"BLACK,",1,"713,714,715,"
"BLACK,",1,"716,717,"
"BLACK,",1,"719,"
"NATIVE AMERICAN/ALASKAN NATIVE,",1,"720,721,"
"BLACK,",1,"722,"
"HISPANIC,",1,"723,724,"
"BLACK,",1,"727,729,"
"BLACK,",1,"730,731,732,"
"BLACK,",1,"733,734,"
"WHITE,",1,"735,"
"BLACK,",1,"736,"
"BLACK,",1,"737,"
"BLACK,",1,"740,742,"
"BLACK,",1,"744,"
"BLACK,",1,"745,"
"BLACK,",1,"748,749,750,"
"BLACK,",1,"751,752,753,"
"BLACK,",1,"754,755,756,761,"
"BLACK,",1,"758,759,760,"
"BLACK,",1,"762,"
"HISPANIC,",1,"763,764,"
"BLACK,",1,"766,"
"BLACK,",1,"767,"
"HISPANIC,",1,"768,"
"BLACK,BLACK,",2,"769,770,"
"BLACK,BLACK,",2,"771,772,773,774,775,"
"BLACK,",1,"776,"
"ASIAN/PACIFIC ISLANDER,",1,"777,"
"BLACK,",1,"778,779,"
"BLACK,",1,"780,"
"BLACK,",1,"781,"
"BLACK,",1,"782,"
"BLACK,",1,"784,"
"BLACK,",1,"785,787,"
"BLACK,",1,"786,"
"BLACK,BLACK,",2,"788,789,"
"BLACK,",1,"790,"
"BLACK,",1,"791,"
"BLACK,",1,"792,"
"BLACK,",1,"796,797,798,800,"
"BLACK,",1,"802,806,"
"BLACK,",1,"803,"
"HISPANIC,BLACK,",2,"805,807,808,809,"
"BLACK,",1,"811,812,813,814,"
"BLACK,",1,"815,816,817,818,"
"BLACK,",1,"819,"
"BLACK,",1,"820,"
"BLACK,",1,"821,822,"
"BLACK,",1,"823,"
"BLACK,",1,"824,825,826,"
"BLACK,",1,"827,828,"
"HISPANIC,",1,"829,"
"HISPANIC,",1,"830,831,"
"BLACK,",1,"832,"
"HISPANIC,",1,"833,834,"
"BLACK,",1,"835,836,837,"
"WHITE,BLACK,",2,"846,847,"
"BLACK,",1,"848,"
"BLACK,",1,"849,851,"
"BLACK,BLACK,",2,"855,856,"
"BLACK,",1,"857,"
"BLACK,",1,"859,"
"BLACK,",1,"860,861,"
"BLACK,",1,"862,"
"BLACK,",1,"863,867,869,872,"
"HISPANIC,WHITE,",2,"864,866,"
"BLACK,BLACK,BLACK,BLACK,",4,"870,871,873,874,"
"BLACK,",1,"875,876,"
"BLACK,",1,"879,"
"BLACK,",1,"881,882,"
"BLACK,",1,"886,888,"
"WHITE,",1,"887,"
"BLACK,",1,"889,890,"
"HISPANIC,",1,"892,895,897,"
"BLACK,",1,"893,"
"BLACK,",1,"894,896,"
"BLACK,",1,"900,901,"
"BLACK,",1,"902,"
"HISPANIC,",1,"903,905,"
"BLACK,",1,"904,906,"
"BLACK,",1,"907,"
"BLACK,",1,"908,909,910,"
"OTHER,",1,"911,912,"
"BLACK,",1,"913,"
"BLACK,",1,"918,"
"BLACK,",1,"922,923,"
"BLACK,",1,"924,925,"
"BLACK,",1,"926,"
"BLACK,",1,"927,"
"BLACK,",1,"928,"
"WHITE,",1,"929,"
"BLACK,BLACK,",2,"931,932,933,"
"BLACK,",1,"935,"
"BLACK,",1,"936,"
"BLACK,BLACK,",2,"937,938,"
"HISPANIC,",1,"939,"
"BLACK,",1,"940,"
"BLACK,",1,"941,942,944,945,"
"BLACK,",1,"943,"
"BLACK,",1,"946,"
"BLACK,BLACK,",2,"947,948,949,"
"HISPANIC,",1,"950,951,952,"
"WHITE,",1,"953,"
"HISPANIC,HISPANIC,",2,"959,961,962,"
"BLACK,",1,"960,"
"WHITE,",1,"963,964,966,967,"
"BLACK,",1,"965,969,970,974,975,"
"HISPANIC,",1,"968,971,"
"BLACK,",1,"976,977,"
"BLACK,",1,"978,"
"BLACK,",1,"979,"
"BLACK,",1,"982,983,"
"BLACK,",1,"984,"
"BLACK,",1,"986,"
"BLACK,",1,"988,"
"BLACK,",1,"990,"
"BLACK,",1,"991,992,"
"BLACK,BLACK,",2,"993,994,"
"BLACK,",1,"995,"
"BLACK,",1,"996,"
"BLACK,",1,"997,998,999,"
"BLACK,",1,"1002,"
"BLACK,",1,"1004,"
"BLACK,",1,"1005,1006,"
"BLACK,BLACK,",2,"1007,1010,"
"BLACK,",1,"1008,1009,1011,1012,"
"BLACK,",1,"1013,"
"BLACK,",1,"1014,"
"BLACK,",1,"1016,"
"WHITE,",1,"1017,"
"BLACK,BLACK,",2,"1018,1019,1020,1021,"
"BLACK,",1,"1022,1023,1024,"
"BLACK,",1,"1025,"
"BLACK,",1,"1026,"
"BLACK,",1,"1027,"
"WHITE,BLACK,WHITE,BLACK,BLACK,WHITE,BLACK,BLACK,BLACK,BLACK,BLACK,BLACK,HISPANIC,",13,"1028,1029,1206,1882,2415,2418,2827,3744,3745,3970,4088,4557,4732,4734,4861,5472,5473,"
"BLACK,",1,"1040,"
"WHITE,",1,"1042,"
"BLACK,",1,"1046,"
"WHITE,",1,"1047,"
"BLACK,",1,"1048,1049,"
"BLACK,",1,"1050,1052,"
"BLACK,",1,"1051,"
"WHITE,",1,"1053,"
"BLACK,",1,"1054,"
"BLACK,BLACK,",2,"1055,1056,"
"BLACK,",1,"1058,1063,"
"WHITE,",1,"1064,1069,"
"HISPANIC,",1,"1065,1066,"
"BLACK,",1,"1067,"
"HISPANIC,",1,"1068,"
"HISPANIC,",1,"1070,"
"BLACK,",1,"1073,"
"BLACK,",1,"1074,1076,"
"BLACK,",1,"1075,"
"BLACK,",1,"1078,1082,"
"BLACK,",1,"1080,1081,"
"BLACK,",1,"1083,"
"BLACK,BLACK,",2,"1084,1085,1086,1087,"
"BLACK,",1,"1088,"
"WHITE,",1,"1089,"
"BLACK,",1,"1092,"
"BLACK,",1,"1093,1094,"
"BLACK,",1,"1095,1096,1097,"
"BLACK,",1,"1098,1099,"
"BLACK,",1,"1101,"
"BLACK,",1,"1103,1106,"
"BLACK,",1,"1104,1105,"
"BLACK,",1,"1107,1108,1110,"
"BLACK,BLACK,",2,"1109,1114,1116,"
"BLACK,",1,"1113,1120,1122,"
"BLACK,",1,"1115,1118,"
"HISPANIC,",1,"1117,1119,"
"WHITE,",1,"1123,1124,1125,1126,"
"BLACK,",1,"1127,1128,"
"BLACK,",1,"1134,1135,"
"BLACK,",1,"1137,"
"HISPANIC,",1,"1139,1140,"
"BLACK,",1,"1142,1143,"
"BLACK,",1,"1144,1145,1146,"
"OTHER,",1,"1147,1149,"
"BLACK,",1,"1150,"
"BLACK,",1,"1151,"
"BLACK,",1,"1152,"
"BLACK,",1,"1153,"
"BLACK,",1,"1154,1155,1156,1158,"
"BLACK,",1,"1157,"
"BLACK,",1,"1161,1162,"
"BLACK,",1,"1163,1164,"
"BLACK,",1,"1166,1167,1168,"
"BLACK,BLACK,",2,"1169,1171,"
"BLACK,",1,"1172,"
"BLACK,",1,"1173,"
"BLACK,",1,"1174,"
"BLACK,",1,"1177,1178,1179,"
"BLACK,",1,"1180,"
"BLACK,",1,"1181,"
"BLACK,",1,"1182,"
"BLACK,",1,"1183,"
"BLACK,",1,"1184,1185,"
"BLACK,",1,"1186,1188,1189,"
"BLACK,",1,"1187,"
"WHITE,",1,"1190,1191,"
