subject_ID,list_of_trr_id,gender,race,age,pb,subcats,age_band
1.0,"4,5,",MALE,HISPANIC,38.0,1.0,4.2,30-39
2.0,"7,8,",MALE,BLACK,25.0,0.0,"4.2, 4.1",20-29
3.0,"9,",MALE,BLACK,24.0,0.0,"4.2, 3.3",20-29
4.0,"10,",MALE,BLACK,21.0,0.0,3.3,20-29
5.0,"11,12,",MALE,BLACK,21.0,1.0,"4.2, 3.3",20-29
6.0,"13,",MALE,BLACK,22.0,1.0,3.3,20-29
7.0,"14,",MALE,ASIAN/PACIFIC ISLANDER,21.0,0.0,,20-29
8.0,"16,",MALE,BLACK,28.0,1.0,"4.2, 3.3",20-29
9.0,"17,",MALE,HISPANIC,55.0,0.0,4.2,50-59
10.0,"19,20,",MALE,BLACK,38.0,0.0,3.3,30-39
35574.0,"22,",MALE,HISPANIC,31.0,0.0,"4.2, 3.3, 5.2",30-39
35575.0,"23,",MALE,HISPANIC,31.0,0.0,5.3,30-39
35576.0,"28,30,",FEMALE,BLACK,26.0,0.0,"4.2, 3.3, 5.1",20-29
35577.0,"29,31,",MALE,BLACK,19.0,1.0,"4.2, 3.3",<20
11.0,"32,",MALE,WHITE,18.0,0.0,"4.2, 3.3",<20
12.0,"33,34,35,36,",MALE,BLACK,37.0,0.0,4.2,30-39
35578.0,"37,",MALE,BLACK,20.0,0.0,"2.0, 4.2, 3.3",20-29
35579.0,"38,",MALE,BLACK,25.0,0.0,4.2,20-29
13.0,"39,40,41,",MALE,BLACK,23.0,0.0,4.2,20-29
14.0,"42,",MALE,BLACK,23.0,1.0,3.3,20-29
15.0,"49,",MALE,BLACK,19.0,0.0,"4.2, 4.1, 5.1",<20
16.0,"50,51,",MALE,BLACK,27.0,0.0,"2.0, 3.3",20-29
17.0,"53,",MALE,WHITE,53.0,0.0,3.3,50-59
18.0,"54,",MALE,WHITE,24.0,1.0,"4.2, 4.1",20-29
19.0,"55,",FEMALE,BLACK,20.0,0.0,2.0,20-29
20.0,"56,",MALE,BLACK,26.0,1.0,3.3,20-29
21.0,"57,",MALE,BLACK,21.0,0.0,"4.2, 3.3",20-29
22.0,"58,",MALE,BLACK,18.0,1.0,4.2,<20
23.0,"59,",MALE,BLACK,36.0,1.0,"2.0, 4.2",30-39
24.0,"60,",FEMALE,BLACK,39.0,0.0,,30-39
25.0,"63,",MALE,BLACK,31.0,1.0,4.2,30-39
27.0,"68,",MALE,BLACK,19.0,0.0,4.1,<20
28.0,"69,",MALE,BLACK,21.0,0.0,"4.2, 3.3",20-29
35580.0,"75,78,",MALE,BLACK,48.0,0.0,3.3,40-49
29.0,"79,80,81,",MALE,BLACK,33.0,0.0,"4.2, 3.3",30-39
30.0,"82,",MALE,BLACK,18.0,0.0,4.2,<20
31.0,"83,84,85,",MALE,BLACK,23.0,0.0,4.2,20-29
32.0,"86,87,",MALE,BLACK,40.0,1.0,"4.2, 3.3",40-49
33.0,"88,",MALE,BLACK,55.0,0.0,"4.2, 3.3",50-59
34.0,"90,",MALE,BLACK,19.0,0.0,"2.0, 4.2",<20
35.0,"94,",MALE,HISPANIC,35.0,1.0,"2.0, 4.2, 3.3",30-39
35581.0,"95,98,",MALE,BLACK,25.0,0.0,"4.2, 3.3",20-29
35582.0,"96,97,",FEMALE,BLACK,24.0,0.0,,20-29
36.0,"99,",MALE,BLACK,31.0,0.0,"4.2, 5.1",30-39
37.0,"100,101,",MALE,WHITE,28.0,0.0,"2.0, 4.2",20-29
38.0,"102,",MALE,BLACK,20.0,0.0,"4.2, 3.3",20-29
39.0,"104,105,106,107,",MALE,BLACK,35.0,0.0,"4.2, 3.3",30-39
40.0,"108,109,",MALE,WHITE,40.0,0.0,4.1,40-49
41.0,"110,115,116,",MALE,HISPANIC,24.0,0.0,2.0,20-29
42.0,"111,",MALE,WHITE,46.0,1.0,"4.2, 3.3",40-49
43.0,"114,",FEMALE,BLACK,20.0,0.0,4.2,20-29
44.0,"118,119,",MALE,WHITE,26.0,0.0,"4.2, 3.3",20-29
35584.0,"120,",FEMALE,WHITE,51.0,1.0,5.3,50-59
35583.0,"121,",FEMALE,WHITE,52.0,0.0,"4.2, 3.3, 5.1",50-59
45.0,"122,123,",MALE,BLACK,24.0,0.0,"4.2, 3.3, 5.1",20-29
35585.0,"124,",MALE,HISPANIC,25.0,0.0,,20-29
35586.0,"125,",MALE,WHITE,26.0,0.0,4.2,20-29
46.0,"126,",MALE,BLACK,48.0,0.0,"4.1, 3.3",40-49
47.0,"127,",MALE,BLACK,18.0,0.0,"4.2, 3.3",<20
48.0,"136,137,",FEMALE,WHITE,58.0,1.0,"4.2, 3.3",50-59
49.0,"138,",MALE,BLACK,26.0,1.0,"4.2, 3.3, 5.1",20-29
50.0,"139,141,142,",MALE,BLACK,25.0,0.0,4.1,20-29
51.0,"143,144,145,",MALE,WHITE,28.0,1.0,4.2,20-29
52.0,"146,147,148,",MALE,BLACK,22.0,1.0,"4.2, 3.3, 5.1",20-29
53.0,"149,150,",MALE,BLACK,30.0,0.0,2.0,30-39
35587.0,"151,",MALE,HISPANIC,27.0,0.0,3.3,20-29
35588.0,"152,",MALE,HISPANIC,22.0,0.0,5.3,20-29
35589.0,"153,",MALE,HISPANIC,24.0,0.0,"4.2, 3.3",20-29
35591.0,"154,",MALE,BLACK,30.0,0.0,"4.2, 3.3",30-39
35590.0,"155,",FEMALE,BLACK,30.0,1.0,"4.2, 3.3, 5.1",30-39
54.0,"157,",MALE,BLACK,41.0,0.0,3.3,40-49
35592.0,"159,",FEMALE,BLACK,31.0,0.0,2.0,30-39
35593.0,"160,161,",MALE,BLACK,45.0,0.0,"4.2, 5.1",40-49
35594.0,"162,",MALE,BLACK,45.0,0.0,"4.2, 3.3",40-49
55.0,"164,165,",MALE,BLACK,18.0,1.0,"4.2, 3.3, 5.1",<20
56.0,"166,",MALE,ASIAN/PACIFIC ISLANDER,29.0,0.0,"4.2, 3.3",20-29
57.0,"168,169,170,",FEMALE,BLACK,23.0,0.0,,20-29
58.0,"171,172,173,174,175,176,177,178,180,",MALE,WHITE,29.0,0.0,"2.0, 4.2",20-29
59.0,"181,",MALE,BLACK,26.0,0.0,"4.2, 3.3",20-29
35595.0,"182,",MALE,BLACK,32.0,0.0,"3.1, 4.2, 3.3, 5.3",30-39
35596.0,"183,",MALE,BLACK,32.0,0.0,4.2,30-39
60.0,"184,185,",MALE,BLACK,29.0,0.0,4.2,20-29
61.0,"187,188,189,190,",MALE,BLACK,32.0,1.0,4.2,30-39
62.0,"191,",MALE,WHITE,35.0,0.0,"4.2, 3.3",30-39
63.0,"194,195,",MALE,WHITE,26.0,1.0,"4.2, 3.3",20-29
64.0,"196,",MALE,BLACK,30.0,0.0,"4.2, 4.1, 5.2",30-39
65.0,"198,",MALE,BLACK,31.0,1.0,4.2,30-39
66.0,"199,200,201,",MALE,BLACK,25.0,1.0,4.2,20-29
67.0,"202,",MALE,HISPANIC,43.0,1.0,4.2,40-49
68.0,"203,",MALE,BLACK,24.0,0.0,"2.0, 4.2",20-29
69.0,"204,205,206,",MALE,HISPANIC,47.0,0.0,3.3,40-49
70.0,"207,",MALE,BLACK,18.0,0.0,3.3,<20
71.0,"208,209,",MALE,BLACK,27.0,0.0,"4.2, 3.3",20-29
72.0,"210,",MALE,WHITE,39.0,0.0,"4.2, 3.3",30-39
73.0,"212,213,",MALE,BLACK,24.0,0.0,4.2,20-29
74.0,"214,",MALE,BLACK,20.0,0.0,2.0,20-29
35597.0,"215,",MALE,BLACK,36.0,0.0,4.2,30-39
35598.0,"216,",FEMALE,BLACK,34.0,0.0,5.1,30-39
75.0,"217,",MALE,BLACK,39.0,1.0,"4.2, 3.3",30-39
76.0,"218,",MALE,HISPANIC,42.0,1.0,"2.0, 4.2, 3.3",40-49
77.0,"222,",MALE,BLACK,19.0,0.0,2.0,<20
78.0,"223,224,",MALE,BLACK,32.0,0.0,4.2,30-39
79.0,"225,",MALE,BLACK,25.0,0.0,"4.2, 3.3",20-29
80.0,"227,228,",MALE,WHITE,27.0,1.0,"4.2, 4.1",20-29
81.0,"229,230,231,232,",MALE,BLACK,27.0,0.0,"4.2, 3.3",20-29
82.0,"233,234,",MALE,BLACK,20.0,1.0,"4.2, 3.3",20-29
83.0,"235,236,",FEMALE,BLACK,18.0,0.0,"2.0, 4.2",<20
35599.0,"237,238,",MALE,BLACK,19.0,0.0,"4.2, 3.3",<20
35600.0,"239,",MALE,BLACK,19.0,1.0,"4.2, 5.1",<20
35601.0,"240,",MALE,BLACK,20.0,1.0,"4.2, 3.3, 5.3",20-29
35602.0,"242,",MALE,BLACK,35.0,0.0,4.2,30-39
35603.0,"243,",FEMALE,BLACK,35.0,0.0,"4.2, 3.3",30-39
84.0,"245,",FEMALE,WHITE,39.0,0.0,"4.2, 5.1",30-39
85.0,"248,",MALE,WHITE,44.0,0.0,"4.2, 3.3",40-49
86.0,"249,250,",MALE,BLACK,41.0,0.0,2.0,40-49
87.0,"251,",MALE,HISPANIC,24.0,0.0,4.2,20-29
88.0,"252,",MALE,BLACK,19.0,1.0,"4.2, 3.3, 5.1",<20
89.0,"253,256,",MALE,BLACK,24.0,0.0,2.0,20-29
90.0,"254,255,257,258,",MALE,WHITE,21.0,0.0,"4.2, 3.3, 5.1",20-29
91.0,"259,",MALE,WHITE,38.0,0.0,2.0,30-39
92.0,"260,",MALE,BLACK,20.0,0.0,"4.2, 3.3",20-29
93.0,"261,262,",MALE,HISPANIC,47.0,0.0,4.2,40-49
